"施設名称","所在地","施設名かな","カテゴリ","分類","TEL","FAX","URL","URL2","バリアフリー情報","詳細情報","備考","経度","緯度","分類"
"平野公園　公衆トイレ１","大阪市平野区平野東2丁目 11-15","ひらのこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","便器数　　男性用　小：２　　男女兼用　和：１　　車椅子対応：１","","135.5597797","34.6233224000002","車いす対応公衆便所"
"浦江公園　公衆トイレ","大阪市北区大淀南3丁目 3-43","うらえこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.483026300001","34.7014220000004","車いす対応公衆便所"
"豊崎西公園　公衆トイレ","大阪市北区豊崎5丁目 5-13","とよさきにしこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.4981598","34.7113676000004","車いす対応公衆便所"
"南天満公園　公衆トイレ１","大阪市北区天神橋1丁目 2-4","みなみてんまこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5125798","34.6923217000003","車いす対応公衆便所"
"本庄公園　公衆トイレ","大阪市北区本庄西3丁目 11-8","ほんじょうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5040449","34.7151465000004","車いす対応公衆便所"
"滝川公園　公衆トイレ","大阪市北区天満4丁目 7-9","たきがわこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5144278","34.6939329000003","車いす対応公衆便所"
"与力町公園　公衆トイレ","大阪市北区与力町5","よりきちょうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5147721","34.7014135000003","車いす対応公衆便所"
"長柄東公園　公衆トイレ","大阪市北区長柄東1丁目 6-37","ながらひがしこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5196196","34.7121621000003","車いす対応公衆便所"
"内代公園　公衆トイレ","大阪市都島区内代町3丁目 3-19","うちんだいこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5365729","34.7133872000003","車いす対応公衆便所"
"友渕中央公園　公衆トイレ","大阪市都島区友渕町1丁目 3-54","ともぶちちゅうおうこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.5246787","34.7192379000003","公衆便所"
"都島中央公園　公衆トイレ","大阪市都島区中野町5丁目 15-50","みやこじまちゅうおうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5226104","34.7069072000003","車いす対応公衆便所"
"毛馬中央公園　公衆トイレ","大阪市都島区毛馬町4丁目 1-27","けまちゅうおうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5220451","34.7227100000003","車いす対応公衆便所"
"福島公園　公衆トイレ","大阪市福島区福島5丁目 16-9","ふくしまこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.485006400001","34.6958754000004","車いす対応公衆便所"
"下福島公園　公衆トイレ","大阪市福島区福島4丁目 1-6","しもふくしまこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.483122700001","34.6904755000004","車いす対応公衆便所"
